# Tomato32 ROM opcode table — one row per rom_addr (1024x64 microcode). Hardware authority; ISA personalities live under profiles/.
rom_addr,rom_region,mnemonic,group,encoding,semantic_op,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,primitive_id,hardware_tier,notes,status
0x0a2,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a8,,,,,,3,150,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0a9,,,,,,3,150,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,1,0,0,,,,,
0x0aa,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,7,0,0,,,,,
0x0ab,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0ac,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0ad,,,,,,0,228,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0ae,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0af,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,
0x0b0,,,,,,0,150,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0b1,,,,,,0,150,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
